%  UTC                 , latitude(deg),longitude(deg), height(m),  Q, ns,  sdn(m),  sde(m),  sdu(m), sdne(m), sdeu(m), sdun(m),age(s), ratio
2024-03-31 12:17:02.057,36.23748155,128.5597624,121.2156,1,9,0.0461,0.0213,0.2215,-0.0292,0.0639,-0.0979,6.18,3
2024-03-31 12:17:02.137,36.23745781,128.5597793,118.864,1,9,0.3616,0.2463,0.8453,0.2981,-0.4547,-0.5521,6.38,6.7
2024-03-31 12:17:02.155,36.23744865,128.5596529,120.9118,2,8,0.4219,0.2052,0.7107,-0.1792,-0.3053,0.2734,6.58,2.9
2024-03-31 12:17:02.218,36.23743963,128.559733,115.4456,2,9,0.4339,0.3139,0.7475,-0.0852,-0.3858,0.2232,6.78,78.5
2024-03-31 12:17:02.256,36.23727303,128.5596669,100.8667,1,8,0.0991,0.1816,0.2834,0.1094,-0.1144,0.0775,-23.02,7
2024-03-31 12:17:02.296,36.23732502,128.5596408,115.6302,2,8,0.3685,0.1625,0.6546,-0.1059,-0.2535,0.1157,7.18,1.1
2024-03-31 12:17:02.356,36.23743147,128.5598068,112.89,2,6,0.1335,0.1238,0.269,-0.0931,0.1352,-0.1761,7.38,1
2024-03-31 12:17:02.396,36.23743312,128.5598084,112.6544,2,4,0.3641,0.4726,0.3789,0.4014,-0.3917,-0.3607,-22.42,1
2024-03-31 12:17:02.435,36.23746582,128.559797,116.9553,5,3,0.537,0.4613,0.8455,-0.2622,-0.572,0.5456,7.78,0
2024-03-31 12:17:02.497,36.23742982,128.5598039,113.0149,2,4,0.3648,0.4726,0.3807,0.4012,-0.3915,-0.3619,-22.02,1
2024-03-31 12:17:02.558,36.2374735,128.5597795,119.8652,5,3,0.5368,0.4612,0.845,-0.262,-0.5718,0.5454,8.18,0
2024-03-31 12:17:02.596,36.23743361,128.5597956,114.621,2,9,0.1297,0.3705,0.5699,-0.1272,-0.4344,0.1514,8.38,1.2
2024-03-31 12:17:02.636,36.23744052,128.5597903,116.5707,1,4,0.6394,0.647,1.0794,-0.3238,-0.7886,0.6774,8.58,6
2024-03-31 12:17:02.697,36.23743308,128.5598104,112.6878,2,4,0.3671,0.4727,0.3865,0.4007,-0.3907,-0.3657,-21.22,1
2024-03-31 12:17:02.736,36.23743561,128.5597834,116.454,2,8,0.1386,0.32,0.5148,-0.1161,-0.3773,0.1444,8.98,1
2024-03-31 12:17:02.798,36.2374353,128.5597906,115.7064,2,8,0.1355,0.2785,0.4623,-0.0985,-0.3269,0.123,9.18,1.1
2024-03-31 12:17:02.837,36.23743526,128.5597929,115.4928,2,8,0.1332,0.2505,0.4279,-0.0866,-0.2929,0.108,9.38,1.1
2024-03-31 12:17:02.877,36.23743298,128.5598097,112.6452,2,4,0.3694,0.4727,0.3934,0.4002,-0.3899,-0.3698,-20.42,1
2024-03-31 12:17:02.937,36.23743069,128.5598073,113.0369,2,9,0.086,0.1136,0.1564,0.016,0.0416,-0.0918,9.78,1.1
2024-03-31 12:17:02.977,36.23743226,128.5598105,112.9171,2,4,0.2672,0.3348,0.2955,0.2812,-0.2752,-0.268,9.98,1.3
2024-03-31 12:17:03.019,36.23746636,128.5597847,119.2985,5,3,0.5363,0.4608,0.845,-0.2611,-0.5712,0.5439,10.18,0
2024-03-31 12:17:03.076,36.23744533,128.5598044,115.9801,1,4,0.3484,0.4711,0.3326,0.4048,-0.3946,-0.3393,10.38,5.1
2024-03-31 12:17:03.116,36.23743286,128.5598124,112.9063,2,4,0.2672,0.3348,0.295,0.2812,-0.2752,-0.268,10.58,2.2
2024-03-31 12:17:03.178,36.23745983,128.5597978,116.6523,2,4,0.7525,0.2947,0.9242,-0.4362,-0.4608,0.813,-19.22,1
2024-03-31 12:17:03.235,36.23743025,128.5598083,113.2012,2,9,0.0898,0.0813,0.1716,-0.0473,0.0605,-0.1043,10.98,1
2024-03-31 12:17:03.276,36.23743038,128.559808,113.1645,2,7,0.0963,0.0868,0.1864,-0.058,0.0775,-0.1159,11.18,1
2024-03-31 12:17:03.316,36.23741278,128.5598209,116.7089,2,4,0.7878,0.7238,0.5406,-0.7202,0.2245,-0.2596,11.38,2
2024-03-31 12:17:03.376,36.23743201,128.5598064,112.7891,2,4,0.1162,0.0967,0.2269,-0.0789,0.1083,-0.1477,11.58,2.8
2024-03-31 12:17:03.416,36.23746727,128.5598104,115.2465,5,2,0.7162,0.4824,1.4471,-0.3429,-0.4521,-0.4952,11.78,0
2024-03-31 12:17:03.458,36.23743622,128.5598088,112.1887,5,3,0.6185,0.387,1.0198,-0.1167,0.3021,-0.7848,11.98,0
2024-03-31 12:17:03.498,36.23740939,128.5598002,118.8722,5,3,0.7258,0.5317,1.1694,-0.433,-0.339,-0.7928,12.18,0
2024-03-31 12:17:03.557,36.23744311,128.5598246,111.6311,5,3,0.6756,0.3688,1.1057,-0.1241,0.2946,-0.8563,12.38,0
2024-03-31 12:17:03.618,36.23743035,128.5598078,113.1788,2,7,0.093,0.0864,0.1799,-0.0583,0.0789,-0.1106,12.58,1.4
2024-03-31 12:17:03.658,36.23742421,128.5598199,114.8016,5,3,0.6756,0.3688,1.1058,-0.124,0.2946,-0.8563,12.78,0
